year,Gini coefficient - Equivalised after-tax household income,Gini coefficient - Equivalised gross family money income,Gini coefficient - Gross family income for non-farm families,Share of top 1% - Pre-tax national income (equal-split adults),Share of top 1% - Post-tax national income (individuals),Share of top 1% - Pre-tax fiscal income (individuals),Share below 50% median - Equivalised after-tax household income,Share of top 1% - Net wealth
1902.0,NA,NA,NA,NA,NA,NA,NA,36.4
1920.0,NA,NA,NA,13.0,NA,14.4,NA,NA
1921.0,NA,NA,NA,16.0,NA,17.6,NA,NA
1922.0,NA,NA,NA,13.6,NA,15.2,NA,NA
1923.0,NA,NA,NA,12.8,NA,14.4,NA,NA
1924.0,NA,NA,NA,13.0,NA,14.5,NA,NA
1925.0,NA,NA,NA,11.7,NA,13.2,NA,NA
1926.0,NA,NA,NA,12.5,NA,14.0,NA,NA
1927.0,NA,NA,NA,13.1,NA,14.7,NA,NA
1928.0,NA,NA,NA,13.7,NA,15.3,NA,NA
1929.0,NA,NA,NA,14.0,NA,15.6,NA,NA
1930.0,NA,NA,NA,14.4,NA,16.1,NA,NA
1931.0,NA,NA,NA,14.9,NA,16.6,NA,NA
1932.0,NA,NA,NA,16.0,NA,17.7,NA,NA
1933.0,NA,NA,NA,16.4,NA,18.0,NA,NA
1934.0,NA,NA,NA,15.9,NA,17.5,NA,NA
1935.0,NA,NA,NA,15.3,NA,17.0,NA,NA
1936.0,NA,NA,NA,15.8,NA,17.5,NA,NA
1937.0,NA,NA,NA,14.6,NA,16.3,NA,NA
1938.0,NA,NA,NA,16.7,NA,18.4,NA,NA
1939.0,NA,NA,NA,15.2,NA,16.9,NA,NA
1940.0,NA,NA,NA,13.2,NA,14.7,NA,NA
1941.0,NA,NA,NA,11.8,NA,13.3,NA,NA
1942.0,NA,NA,NA,10.0,NA,11.3,NA,NA
1943.0,NA,NA,NA,9.4,NA,10.7,NA,NA
1944.0,NA,NA,NA,8.8,NA,10.0,NA,NA
1945.0,NA,NA,NA,8.9,NA,10.1,NA,25.6
1946.0,NA,NA,NA,9.4,NA,10.7,NA,27.4
1947.0,NA,NA,NA,9.7,NA,11.0,NA,28.4
1948.0,NA,NA,NA,9.1,NA,10.4,NA,32.0
1949.0,NA,NA,NA,9.4,NA,10.7,NA,30.9
1950.0,NA,NA,NA,9.5,NA,10.9,NA,30.2
1951.0,NA,NA,NA,8.8,NA,10.0,NA,27.9
1952.0,NA,NA,NA,8.6,NA,9.8,NA,29.0
1953.0,NA,NA,NA,8.6,NA,9.9,NA,27.4
1954.0,NA,NA,NA,9.1,NA,10.3,NA,NA
1955.0,NA,NA,NA,8.9,NA,10.2,NA,NA
1956.0,NA,NA,NA,8.4,NA,9.6,NA,NA
1957.0,NA,NA,NA,8.4,NA,9.6,NA,NA
1958.0,NA,NA,NA,8.7,NA,9.9,NA,NA
1959.0,NA,NA,37.1,8.5,NA,9.7,NA,NA
1960.0,NA,NA,NA,8.6,NA,9.8,NA,NA
1961.0,NA,NA,36.8,8.7,NA,9.9,NA,25.6
1962.0,NA,NA,NA,8.2,NA,9.4,NA,23.8
1963.0,NA,NA,NA,8.0,NA,9.1,NA,25.4
1964.0,NA,NA,NA,8.2,NA,9.4,NA,24.2
1965.0,NA,37.1,NA,8.0,NA,9.2,NA,22.2
1966.0,NA,NA,NA,7.8,NA,8.9,NA,24.9
1967.0,NA,NA,NA,7.9,NA,9.0,NA,21.3
1968.0,NA,NA,NA,7.9,NA,9.0,NA,22.1
1969.0,NA,NA,38.0,7.9,NA,9.0,NA,NA
1970.0,NA,NA,NA,7.8,NA,9.0,NA,22.9
1971.0,NA,39.9,39.8,7.7,NA,8.9,NA,NA
1972.0,NA,NA,NA,7.8,NA,8.9,NA,NA
1973.0,NA,NA,NA,8.1,NA,9.0,NA,NA
1974.0,NA,NA,NA,8.0,NA,9.0,NA,NA
1975.0,NA,37.1,NA,8.8,NA,8.9,NA,NA
1976.0,30.0,NA,NA,8.1,NA,8.3,13.0,NA
1977.0,28.6,NA,NA,7.7,NA,8.0,13.6,NA
1978.0,29.1,NA,NA,7.9,NA,8.1,12.9,NA
1979.0,28.6,36.6,NA,8.6,NA,8.5,13.1,NA
1980.0,28.6,NA,NA,9.2,NA,8.9,12.7,NA
1981.0,28.5,NA,NA,8.5,NA,8.6,12.0,NA
1982.0,28.8,36.6,NA,8.4,6.9,8.9,12.2,NA
1983.0,29.6,37.3,NA,8.9,6.5,8.8,12.9,NA
1984.0,29.3,NA,NA,9.1,6.6,8.7,13.0,23.5
1985.0,29.0,NA,NA,9.2,7.2,8.9,12.1,NA
1986.0,29.0,NA,NA,9.1,7.2,9.2,11.6,NA
1987.0,28.7,NA,NA,10.0,8.1,9.9,11.5,NA
1988.0,28.2,NA,NA,10.7,8.6,10.7,11.1,NA
1989.0,28.1,NA,NA,11.6,9.7,11.9,10.5,NA
1990.0,28.6,NA,NA,9.5,7.8,10.2,11.7,NA
1991.0,29.2,NA,NA,9.2,7.7,10.3,11.5,NA
1992.0,29.1,NA,NA,9.4,7.7,10.5,11.8,NA
1993.0,28.9,NA,NA,10.4,8.5,11.3,11.9,NA
1994.0,29.0,NA,NA,10.9,9.2,11.4,11.8,NA
1995.0,29.3,NA,NA,10.5,7.7,10.9,12.1,NA
1996.0,30.1,NA,NA,11.2,8.1,11.5,12.7,NA
1997.0,30.4,NA,NA,12.2,8.8,12.5,12.7,NA
1998.0,31.1,NA,NA,12.5,9.3,13.0,12.9,NA
1999.0,31.0,NA,NA,13.1,9.6,13.3,12.4,26.6
2000.0,31.7,NA,NA,14.8,10.9,14.6,12.8,NA
2001.0,31.8,NA,NA,13.9,10.3,13.9,12.5,NA
2002.0,31.8,NA,NA,13.5,9.9,13.4,12.9,NA
2003.0,31.6,NA,NA,13.5,9.8,13.2,13.2,NA
2004.0,32.2,NA,NA,14.4,10.6,14.0,13.4,NA
2005.0,31.7,NA,NA,15.4,11.2,14.7,13.0,NA
2006.0,31.6,NA,NA,16.1,11.8,15.4,13.4,NA
2007.0,31.6,NA,NA,16.3,12.1,15.6,13.3,NA
2008.0,31.4,NA,NA,15.1,10.9,14.4,13.4,NA
2009.0,31.5,NA,NA,13.3,9.9,13.3,13.7,NA
2010.0,31.5,NA,NA,14.0,10.2,13.6,13.5,NA
2011.0,31.1,NA,NA,14.1,NA,13.5,13.3,NA
2012.0,31.6,NA,NA,13.5,NA,13.1,13.7,28.7
2013.0,31.8,NA,NA,14.6,NA,14.2,13.4,NA
2014.0,31.1,NA,NA,15.1,NA,14.5,13.0,NA
2015.0,31.4,NA,NA,15.8,NA,15.7,14.2,NA
2016.0,30.6,NA,NA,13.3,NA,13.2,13.0,28.7
2017.0,31.0,NA,NA,15.0,NA,14.4,12.6,NA
2018.0,30.3,NA,NA,14.9,NA,14.4,12.3,NA
2019.0,29.9,NA,NA,14.8,NA,14.4,12.1,NA
2020.0,28.1,NA,NA,14.8,NA,NA,9.3,NA
