year,Top decile as % median - Annual net salary for full-time jobs
1950.0,181.0
1951.0,192.0
1952.0,192.0
1954.0,194.0
1956.0,198.0
1957.0,196.0
1959.0,201.0
1960.0,202.0
1961.0,203.0
1962.0,205.0
1963.0,200.0
1964.0,200.0
1965.0,208.0
1966.0,209.0
1967.0,207.0
1968.0,203.0
1969.0,203.0
1970.0,203.0
1971.0,201.0
1972.0,202.0
1973.0,200.0
1974.0,201.0
1975.0,201.0
1976.0,197.0
1977.0,196.0
1978.0,196.0
1979.0,194.0
1980.0,193.0
1981.0,193.0
1982.0,194.0
1983.0,194.0
1984.0,193.0
1985.0,195.0
1986.0,196.0
1987.0,197.0
1988.0,197.0
1989.0,199.0
1990.0,199.0
1991.0,199.0
1992.0,197.0
1993.0,195.0
1994.0,200.0
1995.0,198.0
1996.0,197.0
1997.0,196.0
1998.0,196.0
1999.0,198.0
2000.0,199.0
2001.0,200.0
2002.0,198.0
2003.0,198.0
2004.0,198.0
2005.0,198.0
2006.0,198.0
2007.0,199.0
2008.0,197.0
2009.0,197.0
2010.0,197.0
2011.0,198.0
2012.0,198.0
2013.0,198.0
2014.0,200.0
2015.0,201.0
2016.0,201.0
2017.0,202.0
2018.0,202.0
2019.0,199.0
