year,Top decile as % median - Gross individual earnings
1975.0,150.7
1978.0,143.4
1980.0,147.0
1981.0,145.5
1982.0,143.7
1983.0,141.1
1984.0,142.9
1985.0,148.7
1986.0,146.9
1987.0,147.4
1988.0,146.6
1989.0,147.1
1990.0,146.3
1991.0,149.8
1992.0,144.8
1993.0,145.3
1994.0,145.8
1995.0,145.2
1996.0,147.7
1997.0,150.0
1998.0,151.8
1999.0,154.0
2000.0,155.2
2001.0,157.9
2002.0,157.4
2003.0,157.1
2004.0,157.1
2005.0,157.9
2006.0,157.7
2007.0,157.4
2008.0,159.2
2009.0,157.8
2010.0,158.1
2011.0,157.1
2012.0,157.9
2013.0,158.6
2014.0,158.9
2015.0,157.7
2016.0,158.4
2017.0,159.3
2018.0,159.2
2019.0,157.7
2020.0,158.0
